,Max Wind(MPH),Max Gust(MPH),Min Temp,Max Temp,Min Humidity%,Max Humidity%
2020-11-26,13,27,1.29,3.5,91.3,100.0
2020-11-27,14,27,1.81,4.32,93.6,100.0
2020-11-28,9,19,0.77,3.11,77.74,100.0
2020-11-29,16,35,0.05,5.73,54.32,100.0
2020-11-30,21,47,0.25,6.0,90.7,100.0
2020-12-01,16,34,0.38,8.47,66.3,100.0
2020-12-02,22,39,-1.26,5.95,96.3,100.0
2020-12-03,17,31,-5.65,-0.82,100.0,100.0
2020-12-04,33,63,-5.39,1.73,100.0,100.0
2020-12-05,21,46,0.12,3.0,78.9,100.0
2020-12-06,10,18,-1.39,2.36,89.4,100.0
2020-12-07,11,21,-1.85,1.43,77.46,99.3
2020-12-08,10,17,-0.67,2.85,98.2,100.0
2020-12-09,19,29,0.77,2.59,87.4,100.0
2020-12-10,25,56,0.7,3.46,94.7,100.0
2020-12-11,20,56,1.95,3.99,91.4,100.0
2020-12-12,13,21,1.82,4.66,98.4,100.0
2020-12-13,26,44,0.9,3.7,87.1,100.0
2020-12-14,18,36,1.75,6.38,85.5,100.0
2020-12-15,16,36,1.82,4.28,78.64,94.5
2020-12-16,28,54,1.81,6.14,72.24,96.9
2020-12-17,25,46,2.47,4.61,80.1,100.0
2020-12-18,19,48,4.17,8.71,72.41,95.9
2020-12-19,23,42,1.95,6.32,74.87,94.9
2020-12-20,25,50,0.18,3.11,83.0,100.0
2020-12-21,21,44,-0.61,3.82,81.3,100.0
2020-12-22,15,33,-0.41,1.21,96.0,100.0
2020-12-23,20,39,-1.0,2.39,75.52,99.9
2020-12-24,16,33,-4.01,-0.03,67.35,100.0
2020-12-25,20,40,-2.96,4.1,80.7,100.0
